1	76.75	89.12
2	77.47	88.47
3	78.19	87.82
4	78.92	87.18
5	79.65	86.55
6	80.38	85.91
7	81.10	85.27
8	81.83	84.63
9	82.54	83.96
10	83.20	83.26
11	83.86	82.55
12	84.51	81.84
13	85.15	81.11
14	85.79	80.38
15	86.45	79.67
16	87.15	79.00
17	87.85	78.33
18	88.55	77.67
19	89.26	77.01
20	89.97	76.35
21	90.68	75.69
22	91.38	75.02
23	92.09	74.36
24	92.84	73.75
25	93.60	73.15
26	94.37	72.56
27	95.14	71.97
28	95.91	71.39
29	96.68	70.80
30	97.45	70.21
31	98.21	69.61
32	98.97	69.01
33	99.80	68.52
34	100.64	68.03
35	101.48	67.54
36	102.33	67.08
37	103.18	66.62
38	104.03	66.16
39	104.91	65.74
40	105.78	65.32
41	106.66	64.93
42	107.59	64.65
43	108.52	64.38
44	109.45	64.12
45	110.39	63.89
46	111.33	63.66
47	112.28	63.44
48	113.22	63.24
49	114.17	63.03
50	115.12	62.84
51	116.07	62.66
52	117.02	62.48
53	117.98	62.31
54	118.93	62.14
55	119.89	61.98
56	120.85	61.87
57	121.81	61.79
58	122.78	61.70
59	123.74	61.69
60	124.71	61.69
61	125.68	61.70
62	126.63	61.89
63	127.57	62.11
64	128.52	62.32
65	129.43	62.63
66	130.35	62.94
67	131.27	63.26
68	132.13	63.69
69	133.00	64.13
70	133.86	64.57
71	134.66	65.12
72	135.46	65.67
73	136.25	66.22
74	137.01	66.82
75	137.77	67.42
76	138.51	68.04
77	139.20	68.72
78	139.89	69.41
79	140.59	70.07
80	141.32	70.70
81	142.06	71.34
82	142.81	71.95
83	143.59	72.53
84	144.36	73.10
85	145.15	73.66
86	145.96	74.20
87	146.76	74.74
88	147.57	75.28
89	148.37	75.81
90	149.18	76.35
91	150.00	76.87
92	150.81	77.40
93	151.63	77.92
94	152.43	78.46
95	153.23	79.01
96	154.03	79.56
97	154.84	80.09
98	155.65	80.62
99	156.46	81.15
