1	76.95	89.48
2	77.66	88.82
3	78.37	88.17
4	79.10	87.54
5	79.83	86.90
6	80.55	86.27
7	81.27	85.63
8	81.99	84.99
9	82.69	84.33
10	83.36	83.63
11	84.02	82.93
12	84.67	82.23
13	85.31	81.50
14	85.95	80.78
15	86.61	80.08
16	87.30	79.41
17	87.99	78.74
18	88.70	78.08
19	89.40	77.42
20	90.11	76.77
21	90.81	76.10
22	91.51	75.44
23	92.20	74.78
24	92.94	74.16
25	93.70	73.57
26	94.46	72.97
27	95.28	72.46
28	96.11	71.97
29	96.94	71.49
30	97.76	70.99
31	98.58	70.48
32	99.41	69.98
33	100.24	69.49
34	101.07	69.00
35	101.90	68.51
36	102.74	68.05
37	103.58	67.58
38	104.43	67.12
39	105.29	66.69
40	106.16	66.26
41	107.02	65.85
42	107.91	65.47
43	108.79	65.08
44	109.69	64.72
45	110.59	64.38
46	111.49	64.05
47	112.40	63.72
48	113.31	63.42
49	114.23	63.12
50	115.16	62.88
51	116.11	62.70
52	117.05	62.52
53	118.01	62.40
54	118.97	62.34
55	119.93	62.28
56	120.89	62.27
57	121.86	62.29
58	122.82	62.30
59	123.78	62.39
60	124.74	62.50
61	125.69	62.62
62	126.65	62.74
63	127.61	62.86
64	128.56	62.99
65	129.50	63.20
66	130.44	63.42
67	131.38	63.65
68	132.28	63.99
69	133.18	64.33
70	134.08	64.68
71	134.93	65.12
72	135.79	65.57
73	136.62	66.04
74	137.39	66.63
75	138.15	67.21
76	138.89	67.83
77	139.59	68.50
78	140.28	69.17
79	140.99	69.82
80	141.72	70.44
81	142.46	71.06
82	143.18	71.70
83	143.87	72.37
84	144.56	73.04
85	145.27	73.70
86	145.99	74.34
87	146.71	74.98
88	147.48	75.55
89	148.28	76.10
90	149.07	76.64
91	149.92	77.09
92	150.79	77.50
93	151.66	77.92
94	152.52	78.35
95	153.38	78.80
96	154.23	79.24
97	155.10	79.66
98	155.97	80.08
99	156.83	80.51
